Tag1	Tag2	Mismatches
28170_x1_FemaleLG_8_FemalePos_12.53_MaleLG_NA_MalePos_NA_duplicated_no	*	187
28252_x1_FemaleLG_12_FemalePos_137.16_MaleLG_NA_MalePos_NA_duplicated_no	*	319
30945_x1_FemaleLG_7_FemalePos_121.56_MaleLG_7_MalePos_74.22_duplicated_no	*	11
32156_x1_FemaleLG_4_FemalePos_1.85_MaleLG_NA_MalePos_NA_duplicated_no	*	961
32179_x1_FemaleLG_21_FemalePos_114.57_MaleLG_21_MalePos_5.93_duplicated_no	*	429
32395_x1_FemaleLG_2_FemalePos_119.54_MaleLG_NA_MalePos_NA_duplicated_no	*	1170
32606_x1_FemaleLG_11_FemalePos_40.04_MaleLG_NA_MalePos_NA_duplicated_no	*	668
33088_x1_FemaleLG_3_FemalePos_97.71_MaleLG_NA_MalePos_NA_duplicated_no	*	83
33846_x1_FemaleLG_14_FemalePos_94.47_MaleLG_NA_MalePos_NA_duplicated_no	*	934
34020_x1_FemaleLG_12_FemalePos_61.97_MaleLG_NA_MalePos_NA_duplicated_no	*	1141
35308_x1_FemaleLG_10_FemalePos_58.75_MaleLG_NA_MalePos_NA_duplicated_no	*	140
35778_x1_FemaleLG_22_FemalePos_134.67_MaleLG_NA_MalePos_NA_duplicated_no	*	827
36066_x1_FemaleLG_9.5_FemalePos_12.95_MaleLG_9_MalePos_63.09_duplicated_no	*	1290
36611_x1_FemaleLG_9_FemalePos_33.66_MaleLG_NA_MalePos_NA_duplicated_no	*	383930
38155_x1_FemaleLG_24_FemalePos_19.16_MaleLG_NA_MalePos_NA_duplicated_no	*	692
3925_x1_FemaleLG_9.5_FemalePos_69.84_MaleLG_NA_MalePos_NA_duplicated_no	*	690
39887_x1_FemaleLG_23_FemalePos_46.06_MaleLG_NA_MalePos_NA_duplicated_no	*	165
3990_x1_FemaleLG_20_FemalePos_0.34_MaleLG_NA_MalePos_NA_duplicated_no	*	906
40181_x1_FemaleLG_4_FemalePos_125.5_MaleLG_NA_MalePos_NA_duplicated_no	*	568
40760_x1_FemaleLG_13_FemalePos_114.27_MaleLG_13_MalePos_51.63_duplicated_no	*	805
40986_x1_FemaleLG_2_FemalePos_132.69_MaleLG_2_MalePos_6.33_duplicated_no	*	927
41127_x1_FemaleLG_13_FemalePos_116.77_MaleLG_NA_MalePos_NA_duplicated_no	*	51
41305_x1_FemaleLG_12_FemalePos_18.34_MaleLG_NA_MalePos_NA_duplicated_no	*	128
41430_x1_FemaleLG_27_FemalePos_108.8_MaleLG_NA_MalePos_NA_duplicated_no	*	262
41597_x1_FemaleLG_13_FemalePos_123.01_MaleLG_NA_MalePos_NA_duplicated_no	*	687
41816_x1_FemaleLG_20_FemalePos_49.43_MaleLG_20_MalePos_61.95_duplicated_no	*	52
42145_x1_FemaleLG_5_FemalePos_55.91_MaleLG_NA_MalePos_NA_duplicated_no	*	42
42262_x1_FemaleLG_1_FemalePos_29.4_MaleLG_1_MalePos_38.24_duplicated_no	*	506
42470_x1_FemaleLG_25_FemalePos_37.2_MaleLG_NA_MalePos_NA_duplicated_no	*	1557
42494_x1_FemaleLG_27_FemalePos_181.59_MaleLG_NA_MalePos_NA_duplicated_no	*	1092
42803_x1_FemaleLG_14_FemalePos_158.4_MaleLG_NA_MalePos_NA_duplicated_no	*	658
42895_x1_FemaleLG_21_FemalePos_51_MaleLG_21_MalePos_5.93_duplicated_no	*	2357
42962_x1_FemaleLG_1_FemalePos_29.4_MaleLG_1_MalePos_38.91_duplicated_no	*	466
4325_x1_FemaleLG_1_FemalePos_20.28_MaleLG_NA_MalePos_NA_duplicated_no	*	282
43329_x1_FemaleLG_14_FemalePos_36.12_MaleLG_14_MalePos_51.29_duplicated_no	*	483
43875_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	*	964
45004_x1_FemaleLG_3_FemalePos_30.09_MaleLG_NA_MalePos_NA_duplicated_no	*	713
45069_x1_FemaleLG_18_FemalePos_2.62_MaleLG_NA_MalePos_NA_duplicated_no	*	486
45699_x1_FemaleLG_23_FemalePos_103.34_MaleLG_NA_MalePos_NA_duplicated_no	*	500
45801_x1_FemaleLG_26_FemalePos_66.27_MaleLG_NA_MalePos_NA_duplicated_no	*	1031
46097_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	*	1121
46688_x1_FemaleLG_3_FemalePos_27.85_MaleLG_NA_MalePos_NA_duplicated_no	*	1094
46693_x1_FemaleLG_14_FemalePos_156.9_MaleLG_14_MalePos_51.29_duplicated_no	*	1054
46780_x1_FemaleLG_21_FemalePos_105.45_MaleLG_NA_MalePos_NA_duplicated_no	*	135
47310_x1_FemaleLG_27_FemalePos_174.7_MaleLG_NA_MalePos_NA_duplicated_no	*	54
47893_x1_FemaleLG_13_FemalePos_134.09_MaleLG_NA_MalePos_NA_duplicated_no	*	603
47927_x1_FemaleLG_27_FemalePos_199.03_MaleLG_NA_MalePos_NA_duplicated_no	*	1078
48011_x1_FemaleLG_10_FemalePos_83.89_MaleLG_NA_MalePos_NA_duplicated_no	*	265
48190_x1_FemaleLG_22_FemalePos_38.92_MaleLG_22_MalePos_9.61_duplicated_no	*	198
48901_x1_FemaleLG_25_FemalePos_7.7_MaleLG_NA_MalePos_NA_duplicated_no	*	81
49339_x1_FemaleLG_12_FemalePos_76.58_MaleLG_NA_MalePos_NA_duplicated_no	*	520
50267_x1_FemaleLG_2_FemalePos_190.17_MaleLG_NA_MalePos_NA_duplicated_no	*	329
50618_x1_FemaleLG_13_FemalePos_111.18_MaleLG_NA_MalePos_NA_duplicated_no	*	980
51026_x1_FemaleLG_26_FemalePos_115.66_MaleLG_NA_MalePos_NA_duplicated_no	*	469
51371_x1_FemaleLG_5_FemalePos_123.18_MaleLG_NA_MalePos_NA_duplicated_no	*	549
51419_x1_FemaleLG_15_FemalePos_106.37_MaleLG_15_MalePos_26.56_duplicated_no	*	976
51535_x1_FemaleLG_19_FemalePos_1.71_MaleLG_19_MalePos_24.96_duplicated_no	*	758
53413_x1_FemaleLG_1_FemalePos_21.6_MaleLG_NA_MalePos_NA_duplicated_no	*	353
5404_x1_FemaleLG_26_FemalePos_144.17_MaleLG_NA_MalePos_NA_duplicated_no	*	1264
54792_x1_FemaleLG_19_FemalePos_15.32_MaleLG_NA_MalePos_NA_duplicated_no	*	458
55083_x1_FemaleLG_6_FemalePos_45.89_MaleLG_NA_MalePos_NA_duplicated_no	*	305
55092_x1_FemaleLG_24_FemalePos_43.95_MaleLG_NA_MalePos_NA_duplicated_no	*	185
55250_x1_FemaleLG_23_FemalePos_151.52_MaleLG_NA_MalePos_NA_duplicated_no	*	1140
5543_x1_FemaleLG_3_FemalePos_28.95_MaleLG_3_MalePos_79.28_duplicated_no	*	368
56510_x1_FemaleLG_17_FemalePos_24.5_MaleLG_NA_MalePos_NA_duplicated_no	*	359
58962_x1_FemaleLG_5_FemalePos_37.94_MaleLG_5_MalePos_82.21_duplicated_no	*	919
59148_x1_FemaleLG_12_FemalePos_137.16_MaleLG_12_MalePos_23.75_duplicated_no	*	656
59154_x1_FemaleLG_26_FemalePos_22.09_MaleLG_26_MalePos_17.58_duplicated_no	*	252
59208_x1_FemaleLG_20_FemalePos_38.77_MaleLG_NA_MalePos_NA_duplicated_no	*	67
59386_x1_FemaleLG_13_FemalePos_2.44_MaleLG_13_MalePos_34.91_duplicated_no	*	10695
59438_x1_FemaleLG_24_FemalePos_31.35_MaleLG_24_MalePos_74.04_duplicated_no	*	406
60125_x1_FemaleLG_12_FemalePos_107.93_MaleLG_NA_MalePos_NA_duplicated_no	*	552
61378_x1_FemaleLG_5_FemalePos_62.93_MaleLG_5_MalePos_81.88_duplicated_no	*	61
61477_x1_FemaleLG_12_FemalePos_99.36_MaleLG_12_MalePos_23.75_duplicated_no	*	502
61911_x1_FemaleLG_11_FemalePos_2.03_MaleLG_NA_MalePos_NA_duplicated_no	*	643
6192_x1_FemaleLG_23_FemalePos_115.11_MaleLG_23_MalePos_36.31_duplicated_no	*	467
62343_x1_FemaleLG_2_FemalePos_180.01_MaleLG_NA_MalePos_NA_duplicated_no	*	758
62701_x1_FemaleLG_20_FemalePos_89.51_MaleLG_NA_MalePos_NA_duplicated_no	*	852
62794_x1_FemaleLG_24_FemalePos_113.88_MaleLG_24_MalePos_73.71_duplicated_no	*	15
63267_x1_FemaleLG_23_FemalePos_74.69_MaleLG_23_MalePos_33.76_duplicated_no	*	5611
63617_x1_FemaleLG_17_FemalePos_78.03_MaleLG_NA_MalePos_NA_duplicated_no	*	764
63641_x1_FemaleLG_23_FemalePos_151.52_MaleLG_NA_MalePos_NA_duplicated_no	*	823
64177_x1_FemaleLG_26_FemalePos_61.4_MaleLG_NA_MalePos_NA_duplicated_no	*	264
64254_x1_FemaleLG_20_FemalePos_130.3_MaleLG_NA_MalePos_NA_duplicated_no	*	936
64373_x1_FemaleLG_1_FemalePos_6.9_MaleLG_NA_MalePos_NA_duplicated_no	*	954
65635_x1_FemaleLG_15_FemalePos_118.76_MaleLG_15_MalePos_29.1_duplicated_no	*	274
6586_x1_FemaleLG_13_FemalePos_2.13_MaleLG_NA_MalePos_NA_duplicated_no	*	489
66198_x1_FemaleLG_17_FemalePos_95.68_MaleLG_NA_MalePos_NA_duplicated_no	*	452
66417_x1_FemaleLG_2_FemalePos_126.15_MaleLG_NA_MalePos_NA_duplicated_no	*	899
66423_x1_FemaleLG_18_FemalePos_47.83_MaleLG_NA_MalePos_NA_duplicated_no	*	757
66661_x1_FemaleLG_20_FemalePos_0.92_MaleLG_NA_MalePos_NA_duplicated_no	*	340
66740_x1_FemaleLG_21_FemalePos_40.02_MaleLG_NA_MalePos_NA_duplicated_no	*	635
67192_x1_FemaleLG_25_FemalePos_59.76_MaleLG_25_MalePos_5.01_duplicated_no	*	373
67695_x1_FemaleLG_27_FemalePos_187.95_MaleLG_NA_MalePos_NA_duplicated_no	*	505
68741_x1_FemaleLG_27_FemalePos_184.73_MaleLG_NA_MalePos_NA_duplicated_no	*	386
68954_x1_FemaleLG_28_FemalePos_92.81_MaleLG_28_MalePos_12.6_duplicated_no	*	67
68986_x1_FemaleLG_20_FemalePos_0.92_MaleLG_20_MalePos_57.28_duplicated_no	*	1878
69235_x1_FemaleLG_20_FemalePos_77.79_MaleLG_NA_MalePos_NA_duplicated_no	*	680
694_x1_FemaleLG_2_FemalePos_81.1_MaleLG_NA_MalePos_NA_duplicated_no	*	314
6966_x1_FemaleLG_28_FemalePos_122.78_MaleLG_NA_MalePos_NA_duplicated_no	*	38
69839_x1_FemaleLG_11_FemalePos_3.24_MaleLG_NA_MalePos_NA_duplicated_no	*	1192
69876_x1_FemaleLG_8_FemalePos_9.73_MaleLG_NA_MalePos_NA_duplicated_no	*	2
69926_x1_FemaleLG_10_FemalePos_76.26_MaleLG_NA_MalePos_NA_duplicated_no	*	650
70025_x1_FemaleLG_19_FemalePos_107.94_MaleLG_NA_MalePos_NA_duplicated_no	*	1117
70513_x1_FemaleLG_12_FemalePos_129.58_MaleLG_NA_MalePos_NA_duplicated_no	*	1158
70556_x1_FemaleLG_18_FemalePos_11.68_MaleLG_NA_MalePos_NA_duplicated_no	*	20
71035_x1_FemaleLG_3_FemalePos_138.85_MaleLG_NA_MalePos_NA_duplicated_no	*	171
71347_x1_FemaleLG_13_FemalePos_53.22_MaleLG_NA_MalePos_NA_duplicated_no	*	381
71618_x1_FemaleLG_8_FemalePos_50.58_MaleLG_NA_MalePos_NA_duplicated_no	*	537
71633_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	*	307
71787_x1_FemaleLG_19_FemalePos_0_MaleLG_NA_MalePos_NA_duplicated_no	*	866
73175_x1_FemaleLG_24_FemalePos_22.18_MaleLG_NA_MalePos_NA_duplicated_no	*	101
73217_x1_FemaleLG_4_FemalePos_5.64_MaleLG_NA_MalePos_NA_duplicated_no	*	273
73223_x1_FemaleLG_16_FemalePos_64.41_MaleLG_NA_MalePos_NA_duplicated_no	*	704
73750_x1_FemaleLG_15_FemalePos_123.11_MaleLG_NA_MalePos_NA_duplicated_no	*	58
74823_x1_FemaleLG_4_FemalePos_26.92_MaleLG_NA_MalePos_NA_duplicated_no	*	260
75106_x1_FemaleLG_17_FemalePos_92.59_MaleLG_17_MalePos_47.24_duplicated_no	*	418
75377_x1_FemaleLG_24_FemalePos_104.3_MaleLG_24_MalePos_74.04_duplicated_no	*	1015
75670_x1_FemaleLG_9_FemalePos_57.78_MaleLG_9_MalePos_63.44_duplicated_no	*	494
76182_x1_FemaleLG_16_FemalePos_25.71_MaleLG_NA_MalePos_NA_duplicated_no	*	892
76633_x1_FemaleLG_28_FemalePos_105.06_MaleLG_28_MalePos_11.45_duplicated_no	*	8
76644_x1_FemaleLG_24_FemalePos_1.36_MaleLG_NA_MalePos_NA_duplicated_no	*	1451
77304_x1_FemaleLG_4_FemalePos_63.04_MaleLG_NA_MalePos_NA_duplicated_no	*	834
77322_x1_FemaleLG_2_FemalePos_9.04_MaleLG_NA_MalePos_NA_duplicated_no	*	648
77389_x1_FemaleLG_7_FemalePos_130.42_MaleLG_7_MalePos_140.8_duplicated_no	*	470
77537_x1_FemaleLG_7_FemalePos_0.65_MaleLG_7_MalePos_18.19_duplicated_no	*	194
77739_x1_FemaleLG_24_FemalePos_59.65_MaleLG_24_MalePos_74.04_duplicated_no	*	142
7896_x1_FemaleLG_6_FemalePos_31.28_MaleLG_6_MalePos_29.84_duplicated_no	*	1669
79246_x1_FemaleLG_25_FemalePos_65.5_MaleLG_NA_MalePos_NA_duplicated_no	*	258
79678_x1_FemaleLG_11_FemalePos_46.79_MaleLG_NA_MalePos_NA_duplicated_no	*	210
80347_x1_FemaleLG_24_FemalePos_10.11_MaleLG_24_MalePos_73.71_duplicated_no	*	143
80427_x1_FemaleLG_13_FemalePos_31.3_MaleLG_NA_MalePos_NA_duplicated_no	*	701
80476_x1_FemaleLG_27_FemalePos_187.95_MaleLG_NA_MalePos_NA_duplicated_no	*	256
81751_x1_FemaleLG_10_FemalePos_126.96_MaleLG_NA_MalePos_NA_duplicated_no	*	202
82061_x1_FemaleLG_18_FemalePos_23.67_MaleLG_NA_MalePos_NA_duplicated_no	*	398
82797_x1_FemaleLG_15_FemalePos_23.86_MaleLG_15_MalePos_26.56_duplicated_no	*	628
83277_x1_FemaleLG_1_FemalePos_44.37_MaleLG_NA_MalePos_NA_duplicated_no	*	683
84099_x1_FemaleLG_2_FemalePos_160.44_MaleLG_NA_MalePos_NA_duplicated_no	*	279
84361_x1_FemaleLG_22_FemalePos_2.27_MaleLG_22_MalePos_14.96_duplicated_no	*	265
85113_x1_FemaleLG_11_FemalePos_120.3_MaleLG_NA_MalePos_NA_duplicated_no	*	3936
85188_x1_FemaleLG_12_FemalePos_50.66_MaleLG_NA_MalePos_NA_duplicated_no	*	469
87740_x1_FemaleLG_25_FemalePos_79.41_MaleLG_NA_MalePos_NA_duplicated_no	*	364
87784_x1_FemaleLG_23_FemalePos_152.09_MaleLG_NA_MalePos_NA_duplicated_no	*	280
87930_x1_FemaleLG_22_FemalePos_120.35_MaleLG_NA_MalePos_NA_duplicated_no	*	628
88029_x1_FemaleLG_4_FemalePos_81.57_MaleLG_NA_MalePos_NA_duplicated_no	*	723
88165_x1_FemaleLG_9_FemalePos_21.11_MaleLG_NA_MalePos_NA_duplicated_no	*	460
88385_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	*	722
88477_x1_FemaleLG_21_FemalePos_50.2_MaleLG_NA_MalePos_NA_duplicated_no	*	161
90426_x1_FemaleLG_28_FemalePos_147.61_MaleLG_NA_MalePos_NA_duplicated_no	*	366
90668_x1_FemaleLG_2_FemalePos_140.66_MaleLG_NA_MalePos_NA_duplicated_no	*	190
9094_x1_FemaleLG_9.5_FemalePos_42.23_MaleLG_NA_MalePos_NA_duplicated_no	*	611
91014_x1_FemaleLG_19_FemalePos_79.82_MaleLG_NA_MalePos_NA_duplicated_no	*	1501
91174_x1_FemaleLG_4_FemalePos_116.64_MaleLG_NA_MalePos_NA_duplicated_no	*	701
9801_x1_FemaleLG_28_FemalePos_166.1_MaleLG_NA_MalePos_NA_duplicated_no	*	862
CM007935.1_58705602	*	2548
CM007936.1_49191445	*	1595
CM007937.1_46498807	*	726
CM007937.1_79177957	*	580
CM007938.1_39582775	*	583
CM007938.1_54555339	*	838
CM007939.1_22667021	*	1298
CM007939.1_42004547	*	35
CM007940.1_11924905	*	471
CM007941.1_5054056	*	1146
CM007941.1_66636367	*	181
CM007943.1_20956599	*	1355
CM007943.1_36668490	*	518
CM007945.1_20223366	*	239
CM007945.1_73355502	*	15
CM007946.1_41540980	*	430
CM007946.1_50042193	*	223
CM007948.1_16388566	*	749
CM007950.1_35291325	*	1881
CM007951.1_45932807	*	1134
CM007952.1_15275433	*	84
CM007952.1_22767220	*	72
CM007952.1_31025908	*	364
CM007952.1_40684241	*	1284
CM007953.1_52343952	*	1441
CM007954.1_26490626	*	1000
CM007957.1_1049506	*	5463
CM007959.1_58156760	*	296
CM007959.1_64887387	*	805
CM007959.1_66398204	*	50
CM007960.1_12990094	*	368
CM007960.1_9441629	*	561
CM007961.1_27561901	*	245
CM007962.1_10813625	*	1148
CM007963.1_29424723	*	458
One_RAD24362	*	1110
One_RAD27165	*	287
One_RAD56448	*	36412
One_RAD72071	*	378
One_RAD82702	*	750
One_RAD90464	*	490
