Tag1	Tag2	Mismatches
46780_x1_FemaleLG_21_FemalePos_105.45_MaleLG_NA_MalePos_NA_duplicated_no	*	361
47310_x1_FemaleLG_27_FemalePos_174.7_MaleLG_NA_MalePos_NA_duplicated_no	*	255
47893_x1_FemaleLG_13_FemalePos_134.09_MaleLG_NA_MalePos_NA_duplicated_no	*	2085
47927_x1_FemaleLG_27_FemalePos_199.03_MaleLG_NA_MalePos_NA_duplicated_no	*	3160
48011_x1_FemaleLG_10_FemalePos_83.89_MaleLG_NA_MalePos_NA_duplicated_no	*	744
48190_x1_FemaleLG_22_FemalePos_38.92_MaleLG_22_MalePos_9.61_duplicated_no	*	874
48901_x1_FemaleLG_25_FemalePos_7.7_MaleLG_NA_MalePos_NA_duplicated_no	*	427
49339_x1_FemaleLG_12_FemalePos_76.58_MaleLG_NA_MalePos_NA_duplicated_no	*	2363
50267_x1_FemaleLG_2_FemalePos_190.17_MaleLG_NA_MalePos_NA_duplicated_no	*	1289
50618_x1_FemaleLG_13_FemalePos_111.18_MaleLG_NA_MalePos_NA_duplicated_no	*	2685
51026_x1_FemaleLG_26_FemalePos_115.66_MaleLG_NA_MalePos_NA_duplicated_no	*	1599
51371_x1_FemaleLG_5_FemalePos_123.18_MaleLG_NA_MalePos_NA_duplicated_no	*	1700
51419_x1_FemaleLG_15_FemalePos_106.37_MaleLG_15_MalePos_26.56_duplicated_no	*	2732
51535_x1_FemaleLG_19_FemalePos_1.71_MaleLG_19_MalePos_24.96_duplicated_no	*	2076
53413_x1_FemaleLG_1_FemalePos_21.6_MaleLG_NA_MalePos_NA_duplicated_no	*	1040
5404_x1_FemaleLG_26_FemalePos_144.17_MaleLG_NA_MalePos_NA_duplicated_no	*	2175
54792_x1_FemaleLG_19_FemalePos_15.32_MaleLG_NA_MalePos_NA_duplicated_no	*	1787
55083_x1_FemaleLG_6_FemalePos_45.89_MaleLG_NA_MalePos_NA_duplicated_no	*	1348
55092_x1_FemaleLG_24_FemalePos_43.95_MaleLG_NA_MalePos_NA_duplicated_no	*	774
55250_x1_FemaleLG_23_FemalePos_151.52_MaleLG_NA_MalePos_NA_duplicated_no	*	3078
5543_x1_FemaleLG_3_FemalePos_28.95_MaleLG_3_MalePos_79.28_duplicated_no	*	1129
56510_x1_FemaleLG_17_FemalePos_24.5_MaleLG_NA_MalePos_NA_duplicated_no	*	1197
58962_x1_FemaleLG_5_FemalePos_37.94_MaleLG_5_MalePos_82.21_duplicated_no	*	2517
59148_x1_FemaleLG_12_FemalePos_137.16_MaleLG_12_MalePos_23.75_duplicated_no	*	1722
59154_x1_FemaleLG_26_FemalePos_22.09_MaleLG_26_MalePos_17.58_duplicated_no	*	971
59208_x1_FemaleLG_20_FemalePos_38.77_MaleLG_NA_MalePos_NA_duplicated_no	*	362
59386_x1_FemaleLG_13_FemalePos_2.44_MaleLG_13_MalePos_34.91_duplicated_no	*	11194
59438_x1_FemaleLG_24_FemalePos_31.35_MaleLG_24_MalePos_74.04_duplicated_no	*	1424
60125_x1_FemaleLG_12_FemalePos_107.93_MaleLG_NA_MalePos_NA_duplicated_no	*	1746
61378_x1_FemaleLG_5_FemalePos_62.93_MaleLG_5_MalePos_81.88_duplicated_no	*	237
61477_x1_FemaleLG_12_FemalePos_99.36_MaleLG_12_MalePos_23.75_duplicated_no	*	1598
61911_x1_FemaleLG_11_FemalePos_2.03_MaleLG_NA_MalePos_NA_duplicated_no	*	1928
6192_x1_FemaleLG_23_FemalePos_115.11_MaleLG_23_MalePos_36.31_duplicated_no	*	1293
62343_x1_FemaleLG_2_FemalePos_180.01_MaleLG_NA_MalePos_NA_duplicated_no	*	2667
62701_x1_FemaleLG_20_FemalePos_89.51_MaleLG_NA_MalePos_NA_duplicated_no	*	2756
62794_x1_FemaleLG_24_FemalePos_113.88_MaleLG_24_MalePos_73.71_duplicated_no	*	88
63267_x1_FemaleLG_23_FemalePos_74.69_MaleLG_23_MalePos_33.76_duplicated_no	*	13522
63617_x1_FemaleLG_17_FemalePos_78.03_MaleLG_NA_MalePos_NA_duplicated_no	*	2298
63641_x1_FemaleLG_23_FemalePos_151.52_MaleLG_NA_MalePos_NA_duplicated_no	*	2282
64177_x1_FemaleLG_26_FemalePos_61.4_MaleLG_NA_MalePos_NA_duplicated_no	*	981
64254_x1_FemaleLG_20_FemalePos_130.3_MaleLG_NA_MalePos_NA_duplicated_no	*	3044
64373_x1_FemaleLG_1_FemalePos_6.9_MaleLG_NA_MalePos_NA_duplicated_no	*	3231
65635_x1_FemaleLG_15_FemalePos_118.76_MaleLG_15_MalePos_29.1_duplicated_no	*	890
6586_x1_FemaleLG_13_FemalePos_2.13_MaleLG_NA_MalePos_NA_duplicated_no	*	1414
66198_x1_FemaleLG_17_FemalePos_95.68_MaleLG_NA_MalePos_NA_duplicated_no	*	1433
66417_x1_FemaleLG_2_FemalePos_126.15_MaleLG_NA_MalePos_NA_duplicated_no	*	2832
66423_x1_FemaleLG_18_FemalePos_47.83_MaleLG_NA_MalePos_NA_duplicated_no	*	2421
66661_x1_FemaleLG_20_FemalePos_0.92_MaleLG_NA_MalePos_NA_duplicated_no	*	1122
66740_x1_FemaleLG_21_FemalePos_40.02_MaleLG_NA_MalePos_NA_duplicated_no	*	1991
67192_x1_FemaleLG_25_FemalePos_59.76_MaleLG_25_MalePos_5.01_duplicated_no	*	1136
67695_x1_FemaleLG_27_FemalePos_187.95_MaleLG_NA_MalePos_NA_duplicated_no	*	1844
68741_x1_FemaleLG_27_FemalePos_184.73_MaleLG_NA_MalePos_NA_duplicated_no	*	1451
68954_x1_FemaleLG_28_FemalePos_92.81_MaleLG_28_MalePos_12.6_duplicated_no	*	160
68986_x1_FemaleLG_20_FemalePos_0.92_MaleLG_20_MalePos_57.28_duplicated_no	*	3968
69235_x1_FemaleLG_20_FemalePos_77.79_MaleLG_NA_MalePos_NA_duplicated_no	*	2101
694_x1_FemaleLG_2_FemalePos_81.1_MaleLG_NA_MalePos_NA_duplicated_no	*	1109
6966_x1_FemaleLG_28_FemalePos_122.78_MaleLG_NA_MalePos_NA_duplicated_no	*	124
69839_x1_FemaleLG_11_FemalePos_3.24_MaleLG_NA_MalePos_NA_duplicated_no	*	2489
69876_x1_FemaleLG_8_FemalePos_9.73_MaleLG_NA_MalePos_NA_duplicated_no	*	5
69926_x1_FemaleLG_10_FemalePos_76.26_MaleLG_NA_MalePos_NA_duplicated_no	*	2296
70025_x1_FemaleLG_19_FemalePos_107.94_MaleLG_NA_MalePos_NA_duplicated_no	*	3001
70513_x1_FemaleLG_12_FemalePos_129.58_MaleLG_NA_MalePos_NA_duplicated_no	*	3219
70556_x1_FemaleLG_18_FemalePos_11.68_MaleLG_NA_MalePos_NA_duplicated_no	*	74
71035_x1_FemaleLG_3_FemalePos_138.85_MaleLG_NA_MalePos_NA_duplicated_no	*	730
71347_x1_FemaleLG_13_FemalePos_53.22_MaleLG_NA_MalePos_NA_duplicated_no	*	1239
71618_x1_FemaleLG_8_FemalePos_50.58_MaleLG_NA_MalePos_NA_duplicated_no	*	1981
71633_x1_FemaleLG_10_FemalePos_164.88_MaleLG_NA_MalePos_NA_duplicated_no	*	897
71787_x1_FemaleLG_19_FemalePos_0_MaleLG_NA_MalePos_NA_duplicated_no	*	1216
73175_x1_FemaleLG_24_FemalePos_22.18_MaleLG_NA_MalePos_NA_duplicated_no	*	398
73217_x1_FemaleLG_4_FemalePos_5.64_MaleLG_NA_MalePos_NA_duplicated_no	*	873
73223_x1_FemaleLG_16_FemalePos_64.41_MaleLG_NA_MalePos_NA_duplicated_no	*	1957
73750_x1_FemaleLG_15_FemalePos_123.11_MaleLG_NA_MalePos_NA_duplicated_no	*	201
74823_x1_FemaleLG_4_FemalePos_26.92_MaleLG_NA_MalePos_NA_duplicated_no	*	867
75106_x1_FemaleLG_17_FemalePos_92.59_MaleLG_17_MalePos_47.24_duplicated_no	*	1609
75377_x1_FemaleLG_24_FemalePos_104.3_MaleLG_24_MalePos_74.04_duplicated_no	*	1709
75670_x1_FemaleLG_9_FemalePos_57.78_MaleLG_9_MalePos_63.44_duplicated_no	*	1683
76182_x1_FemaleLG_16_FemalePos_25.71_MaleLG_NA_MalePos_NA_duplicated_no	*	2612
76633_x1_FemaleLG_28_FemalePos_105.06_MaleLG_28_MalePos_11.45_duplicated_no	*	40
76644_x1_FemaleLG_24_FemalePos_1.36_MaleLG_NA_MalePos_NA_duplicated_no	*	2465
77304_x1_FemaleLG_4_FemalePos_63.04_MaleLG_NA_MalePos_NA_duplicated_no	*	2541
77322_x1_FemaleLG_2_FemalePos_9.04_MaleLG_NA_MalePos_NA_duplicated_no	*	2121
77389_x1_FemaleLG_7_FemalePos_130.42_MaleLG_7_MalePos_140.8_duplicated_no	*	1076
77537_x1_FemaleLG_7_FemalePos_0.65_MaleLG_7_MalePos_18.19_duplicated_no	*	533
77739_x1_FemaleLG_24_FemalePos_59.65_MaleLG_24_MalePos_74.04_duplicated_no	*	588
7896_x1_FemaleLG_6_FemalePos_31.28_MaleLG_6_MalePos_29.84_duplicated_no	*	3982
79246_x1_FemaleLG_25_FemalePos_65.5_MaleLG_NA_MalePos_NA_duplicated_no	*	741
79678_x1_FemaleLG_11_FemalePos_46.79_MaleLG_NA_MalePos_NA_duplicated_no	*	725
80347_x1_FemaleLG_24_FemalePos_10.11_MaleLG_24_MalePos_73.71_duplicated_no	*	512
80427_x1_FemaleLG_13_FemalePos_31.3_MaleLG_NA_MalePos_NA_duplicated_no	*	2366
80476_x1_FemaleLG_27_FemalePos_187.95_MaleLG_NA_MalePos_NA_duplicated_no	*	897
81751_x1_FemaleLG_10_FemalePos_126.96_MaleLG_NA_MalePos_NA_duplicated_no	*	954
82061_x1_FemaleLG_18_FemalePos_23.67_MaleLG_NA_MalePos_NA_duplicated_no	*	1129
82797_x1_FemaleLG_15_FemalePos_23.86_MaleLG_15_MalePos_26.56_duplicated_no	*	2086
83277_x1_FemaleLG_1_FemalePos_44.37_MaleLG_NA_MalePos_NA_duplicated_no	*	2044
84099_x1_FemaleLG_2_FemalePos_160.44_MaleLG_NA_MalePos_NA_duplicated_no	*	1090
84361_x1_FemaleLG_22_FemalePos_2.27_MaleLG_22_MalePos_14.96_duplicated_no	*	892
85113_x1_FemaleLG_11_FemalePos_120.3_MaleLG_NA_MalePos_NA_duplicated_no	*	7426
85188_x1_FemaleLG_12_FemalePos_50.66_MaleLG_NA_MalePos_NA_duplicated_no	*	1616
87740_x1_FemaleLG_25_FemalePos_79.41_MaleLG_NA_MalePos_NA_duplicated_no	*	1086
87784_x1_FemaleLG_23_FemalePos_152.09_MaleLG_NA_MalePos_NA_duplicated_no	*	810
87930_x1_FemaleLG_22_FemalePos_120.35_MaleLG_NA_MalePos_NA_duplicated_no	*	1950
88029_x1_FemaleLG_4_FemalePos_81.57_MaleLG_NA_MalePos_NA_duplicated_no	*	2414
88165_x1_FemaleLG_9_FemalePos_21.11_MaleLG_NA_MalePos_NA_duplicated_no	*	1541
88385_x1_FemaleLG_3_FemalePos_23.39_MaleLG_NA_MalePos_NA_duplicated_no	*	1890
88477_x1_FemaleLG_21_FemalePos_50.2_MaleLG_NA_MalePos_NA_duplicated_no	*	441
90426_x1_FemaleLG_28_FemalePos_147.61_MaleLG_NA_MalePos_NA_duplicated_no	*	981
90668_x1_FemaleLG_2_FemalePos_140.66_MaleLG_NA_MalePos_NA_duplicated_no	*	667
9094_x1_FemaleLG_9.5_FemalePos_42.23_MaleLG_NA_MalePos_NA_duplicated_no	*	2129
91014_x1_FemaleLG_19_FemalePos_79.82_MaleLG_NA_MalePos_NA_duplicated_no	*	3582
91174_x1_FemaleLG_4_FemalePos_116.64_MaleLG_NA_MalePos_NA_duplicated_no	*	2122
9801_x1_FemaleLG_28_FemalePos_166.1_MaleLG_NA_MalePos_NA_duplicated_no	*	2255
CM007935.1_58705602	*	6854
CM007936.1_49191445	*	4987
CM007937.1_46498807	*	2277
CM007937.1_79177957	*	1999
CM007938.1_39582775	*	1594
CM007938.1_54555339	*	3521
CM007939.1_22667021	*	3904
CM007939.1_42004547	*	164
CM007940.1_11924905	*	1701
CM007941.1_5054056	*	2967
CM007941.1_66636367	*	645
CM007943.1_20956599	*	3619
CM007943.1_36668490	*	1454
CM007945.1_20223366	*	801
CM007945.1_73355502	*	77
CM007946.1_41540980	*	1395
CM007946.1_50042193	*	977
CM007948.1_16388566	*	2062
CM007950.1_35291325	*	5484
CM007951.1_45932807	*	3135
CM007952.1_15275433	*	381
CM007952.1_22767220	*	309
CM007952.1_31025908	*	1659
CM007952.1_40684241	*	4278
CM007953.1_52343952	*	3238
CM007954.1_26490626	*	2281
CM007957.1_1049506	*	8074
CM007959.1_58156760	*	803
CM007959.1_64887387	*	2222
CM007959.1_66398204	*	159
CM007960.1_12990094	*	1272
CM007960.1_9441629	*	1582
CM007961.1_27561901	*	1059
CM007962.1_10813625	*	1683
CM007963.1_29424723	*	1536
One_RAD24362	*	3263
One_RAD27165	*	881
One_RAD56448	*	130319
One_RAD72071	*	1429
One_RAD82702	*	1658
One_RAD90464	*	1528
